K,Precision,Recall
2,0.7248549323017408,0.7050799623706491
5,0.8321096426823299,0.7996237064910631
10,0.8576423576423576,0.8076199435559737
100,0.861457334611697,0.8452492944496708
500,0.8852772466539197,0.8711194731890874
1000,0.8915254237288136,0.8659454374412041
2126,0.8874521072796935,0.8715898400752587
