K,Precision,Recall
2,0.754302103250478,0.742238946378175
5,0.8681732580037664,0.8673565380997178
10,0.886039886039886,0.8777046095954845
100,0.9150763358778626,0.9021636876763875
500,0.9286726499763817,0.9247412982126059
1000,0.9364326375711575,0.9285042333019755
2126,0.9427625354777672,0.9374412041392286
