K,Precision,Recall
2,0.6948356807511737,0.6961429915333961
5,0.8387418871692461,0.7902163687676388
10,0.8476331360946746,0.808560677328316
100,0.8604422604422605,0.823612417685795
500,0.866436668309512,0.8269049858889934
1000,0.8677849037987173,0.8273753527751646
2126,0.868771583621115,0.8283160865475071
