K,Precision,Recall
2,0.7056297709923665,0.6956726246472248
5,0.8381618381618382,0.7892756349952963
10,0.8490846115784265,0.8071495766698025
100,0.8574938574938575,0.8207902163687676
500,0.863524791359843,0.8273753527751646
1000,0.8662733529990168,0.8287864534336783
2126,0.8671913428430891,0.8292568203198495
