K,Precision,Recall
2,0.7390913180386864,0.7728127939793038
5,0.8504936530324401,0.8508936970837253
10,0.8581363004172462,0.8706491063029163
100,0.8804247460757156,0.8969896519285042
500,0.9096441947565543,0.9139228598306679
1000,0.9187793427230047,0.9205079962370649
2126,0.9289411764705883,0.9285042333019755
